Name,User name,Log in,Log out,Cytometer,Serial No.,Duration (in hours)
LSRII,user1,2012-04-02 13:51:12,2012-04-02 13:52:30,LSRII,1,0.0216666667
LSRII,user1,2012-04-02 14:32:06,2012-04-02 14:36:17,LSRII,1,0.0697222222
LSRII,user1,2012-04-02 15:29:22,2012-04-02 15:30:44,LSRII,1,0.0227777778
LSRII,user1,2013-09-03 06:49:06,2013-09-03 08:41:45,LSRII,1,1.8775
LSRII,user1,2013-09-03 11:05:55,2013-09-03 12:19:51,LSRII,1,1.2322222222
LSRII,user1,2014-01-06 08:05:29,2014-01-06 10:12:28,LSRII,1,2.1163888889
LSRII,user1,2014-01-07 07:36:56,2014-01-07 08:26:30,LSRII,1,0.8261111111
LSRII,user1,2014-01-08 07:31:00,2014-01-08 08:07:51,LSRII,1,0.6141666667
LSRII,user1,2014-07-01 07:36:06,2014-07-01 08:25:19,LSRII,1,0.8202777778
LSRII,user1,2014-07-01 13:44:19,2014-07-01 13:44:49,LSRII,1,0.0083333333
LSRII,MolecularBiomarkers,2012-04-02 15:30:52,2012-04-02 19:00:31,LSRII,1,3.4941666667
LSRII,MolecularBiomarkers,2014-01-09 07:42:07,2014-01-09 08:15:07,LSRII,1,0.55
LSRII,MolecularBiomarkers,2014-07-02 07:41:17,2014-07-02 08:35:45,LSRII,1,0.9077777778
LSRII,MolecularBiomarkers,2012-04-03 10:11:00,2012-04-03 10:11:40,LSRII,1,0.0111111111
LSRII,MolecularBiomarkers,2014-01-10 08:01:15,2014-01-10 08:27:36,LSRII,1,0.4391666667
LSRII,bSebuufu,2012-04-03 10:21:02,2012-04-03 12:52:52,LSRII,1,2.5305555556
LSRII,bSebuufu,2012-04-03 12:53:17,2012-04-03 12:53:30,LSRII,1,0.0036111111
LSRII,bSebuufu,2012-04-03 12:54:08,2012-04-03 12:54:15,LSRII,1,0.0019444444
LSRII,bSebuufu,2012-04-03 12:54:37,2012-04-03 12:54:43,LSRII,1,0.0016666667
LSRII,bSebuufu,2012-04-03 12:55:04,2012-04-03 14:32:55,LSRII,1,1.6308333333
LSRII,bSebuufu,2012-04-03 14:35:00,2012-04-03 14:35:56,LSRII,1,0.0155555556
LSRII,bSebuufu,2012-04-03 14:35:59,2012-04-03 16:25:53,LSRII,1,1.8316666667
LSRII,bSebuufu,2013-09-04 08:10:17,2013-09-04 08:37:04,LSRII,1,0.4463888889
LSRII,bSebuufu,2013-09-04 08:40:50,2013-09-04 08:41:21,LSRII,1,0.0086111111
LSRII,bSebuufu,2013-09-05 06:52:46,2013-09-05 07:14:18,LSRII,1,0.3588888889
LSRII,bSebuufu,2013-09-06 06:49:00,2013-09-06 07:05:54,LSRII,1,0.2816666667
LSRII,bSebuufu,2014-01-14 07:36:41,2014-01-14 08:04:27,LSRII,1,0.4627777778
LSRII,bSebuufu,2014-01-16 07:40:27,2014-01-16 08:23:41,LSRII,1,0.7205555556
LSRII,bSebuufu,2014-01-17 07:38:41,2014-01-17 07:59:13,LSRII,1,0.3422222222
LSRII,bSebuufu,2014-01-21 07:33:39,2014-01-21 08:57:10,LSRII,1,1.3919444444
LSRII,bSebuufu,2014-01-22 08:52:59,2014-01-22 09:45:52,LSRII,1,0.8813888889
LSRII,bSebuufu,2014-07-03 07:11:43,2014-07-03 07:48:29,LSRII,1,0.6127777778
LSRII,bSebuufu,2014-07-07 08:43:44,2014-07-07 12:41:05,LSRII,1,3.9558333333
LSRII,bSebuufu,2014-07-08 07:50:47,2014-07-08 08:33:34,LSRII,1,0.7130555556
LSRII,user2,2012-04-03 16:26:15,2012-04-03 18:42:00,LSRII,1,2.2625
LSRII,user2,2012-04-04 07:42:06,2012-04-04 14:32:54,LSRII,1,6.8466666667
LSRII,user2,2012-04-05 08:46:18,2012-04-05 09:19:54,LSRII,1,0.56
LSRII,user2,2012-04-05 09:26:06,2012-04-05 09:44:11,LSRII,1,0.3013888889
LSRII,user2,2012-04-05 09:44:22,2012-04-05 10:34:44,LSRII,1,0.8394444444
LSRII,user2,2012-04-05 11:05:06,2012-04-05 15:26:10,LSRII,1,4.3511111111
LSRII,user2,2013-09-09 07:02:59,2013-09-09 07:25:52,LSRII,1,0.3813888889
LSRII,user2,2013-09-10 06:54:52,2013-09-10 07:15:31,LSRII,1,0.3441666667
LSRII,user2,2013-09-11 08:00:17,2013-09-11 09:05:00,LSRII,1,1.0786111111
LSRII,user2,2013-09-12 06:55:59,2013-09-12 07:36:07,LSRII,1,0.6688888889
LSRII,user2,2014-01-23 07:40:41,2014-01-23 08:06:06,LSRII,1,0.4236111111
LSRII,user2,2014-01-24 08:05:29,2014-01-24 08:48:04,LSRII,1,0.7097222222
LSRII,user2,2014-01-27 07:46:51,2014-01-27 08:24:47,LSRII,1,0.6322222222
LSRII,user2,2014-01-28 07:38:29,2014-01-28 08:19:19,LSRII,1,0.6805555556
LSRII,user2,2014-07-09 08:04:05,2014-07-09 08:34:32,LSRII,1,0.5075
LSRII,user2,2014-07-10 07:50:37,2014-07-10 08:32:11,LSRII,1,0.6927777778
LSRII,user2,2014-07-10 11:22:06,2014-07-10 11:23:06,LSRII,1,0.0166666667
LSRII,user3,2012-04-05 15:26:36,2012-04-05 15:27:27,LSRII,1,0.0141666667
LSRII,user3,2012-04-05 20:34:41,2012-04-06 07:46:19,LSRII,1,11.1938888889
LSRII,user3,2012-04-06 07:46:23,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user3,2012-04-06 13:32:57,2012-04-06 14:36:30,LSRII,1,1.0591666667
LSRII,user3,2012-04-06 14:36:34,2012-04-06 14:42:02,LSRII,1,0.0911111111
LSRII,user3,2013-09-13 07:02:09,2013-09-13 07:45:47,LSRII,1,0.7272222222
LSRII,user3,2013-09-16 07:23:55,2013-09-16 08:08:24,LSRII,1,0.7413888889
LSRII,user3,2014-01-28 10:37:31,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user3,2014-01-28 12:41:10,2014-01-28 15:42:40,LSRII,1,3.025
LSRII,user3,2014-01-29 07:35:55,2014-01-29 09:30:58,LSRII,1,1.9175
LSRII,user3,2014-01-29 09:31:16,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user3,2014-01-29 12:20:48,2014-01-29 12:41:24,LSRII,1,0.3433333333
LSRII,user4,2012-04-06 14:42:06,2012-04-06 14:44:32,LSRII,1,0.0405555556
LSRII,user4,2012-04-06 14:44:36,2012-04-06 17:04:21,LSRII,1,2.3291666667
LSRII,user4,2012-04-06 17:04:37,2012-04-07 17:29:32,LSRII,1,24.4152777778
LSRII,user4,2012-04-07 17:29:49,2012-04-07 17:41:42,LSRII,1,0.1980555556
LSRII,user4,2012-04-07 17:43:54,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user4,2012-04-07 17:51:50,2012-04-07 21:34:23,LSRII,1,3.7091666667
LSRII,user4,2012-04-09 10:06:02,2012-04-09 11:09:28,LSRII,1,1.0572222222
LSRII,user4,2012-04-09 11:09:40,2012-04-09 13:28:30,LSRII,1,2.3138888889
LSRII,user4,2013-09-17 06:50:54,2013-09-17 08:09:48,LSRII,1,1.315
LSRII,user4,2013-09-18 06:52:51,2013-09-18 07:57:07,LSRII,1,1.0711111111
LSRII,user4,2013-09-19 07:18:06,2013-09-19 07:48:11,LSRII,1,0.5013888889
LSRII,user4,2014-01-30 07:53:14,2014-01-30 13:02:35,LSRII,1,5.1558333333
LSRII,user4,2014-01-31 07:49:35,2014-01-31 08:47:57,LSRII,1,0.9727777778
LSRII,user4,2014-01-31 09:10:08,####-##-## ##:##:##,LSRII,1,N/A
LSRII,user4,2014-07-11 07:31:22,2014-07-11 07:50:52,LSRII,1,0.325
